2025-11-26 14:32:05,723 - INFO - Loaded 0 existing credentials
2025-11-26 14:32:05,724 - INFO - Loading personas from data/runs/personas_prod_100p_100s_65_35.csv
2025-11-26 14:32:05,728 - INFO - Loaded 100 personas
2025-11-26 14:32:05,728 - INFO - Loading posts from data/runs/prod_100p_100s_65_35_dataset.jsonl
2025-11-26 14:32:05,771 - INFO - Loaded 1363 posts (481 root, 882 replies)
2025-11-26 14:32:05,771 - INFO - Loading edges from data/runs/edges_prod_100p_100s_65_35.csv
2025-11-26 14:32:05,772 - INFO - Loaded 287 follow relationships
2025-11-26 14:32:05,772 - INFO - 
======================================================================
2025-11-26 14:32:05,772 - INFO - PHASE 1: Account Creation
2025-11-26 14:32:05,772 - INFO - ======================================================================
2025-11-26 14:32:05,772 - INFO - Creating accounts for all personas...
2025-11-26 14:32:06,369 - WARNING - Account creation failed for benign_0016_a2924e: 500
2025-11-26 14:32:08,290 - WARNING - Account creation failed for gamer_0000_c40a70: 500
2025-11-26 14:32:10,293 - WARNING - Account creation failed for recovery_0005_738893: 500
2025-11-26 14:32:12,295 - WARNING - Account creation failed for extrem_0000_4bdd90: 500
2025-11-26 14:32:14,314 - WARNING - Account creation failed for bully_0002_eb02ca: 500
2025-11-26 14:32:16,303 - WARNING - Account creation failed for recovery_0016_9ae826: 500
2025-11-26 14:32:18,306 - WARNING - Account creation failed for gamer_0002_e5f419: 500
2025-11-26 14:32:20,445 - WARNING - Account creation failed for misinfo_0000_cec7b8: 500
2025-11-26 14:32:22,329 - WARNING - Account creation failed for hate_0000_38eee5: 500
2025-11-26 14:32:24,337 - WARNING - Account creation failed for benign_0028_21630d: 500
2025-11-26 14:32:26,342 - WARNING - Account creation failed for hate_0001_25fc49: 500
2025-11-26 14:32:28,330 - WARNING - Account creation failed for gamer_0001_efd4ab: 500
2025-11-26 14:32:30,349 - WARNING - Account creation failed for recovery_0031_15e621: 500
2025-11-26 14:32:32,333 - WARNING - Account creation failed for recovery_0000_4094ed: 500
2025-11-26 14:32:34,331 - WARNING - Account creation failed for benign_0014_efaa30: 500
2025-11-26 14:32:36,331 - WARNING - Account creation failed for benign_0025_f45bb5: 500
2025-11-26 14:32:38,340 - WARNING - Account creation failed for benign_0020_67c777: 500
2025-11-26 14:32:40,345 - WARNING - Account creation failed for bully_0004_2a1dcd: 500
2025-11-26 14:32:42,397 - WARNING - Account creation failed for conspir_0000_f2d045: 500
2025-11-26 14:32:44,426 - WARNING - Account creation failed for recovery_0009_faa25d: 500
2025-11-26 14:32:46,352 - WARNING - Account creation failed for benign_0029_60e8d2: 500
2025-11-26 14:32:48,363 - WARNING - Account creation failed for recovery_0013_d6e4b4: 500
2025-11-26 14:32:50,356 - WARNING - Account creation failed for recovery_0018_a17750: 500
